Year,Ratio
1900,882536.7877083052
1920,1571085.401769749
1940,1549425.5996955445
1950,1791718.5583906053
1960,2140475.618281421
1970,2503334.1740108333
1980,2696161.4539415534
1990,2767715.1866243747
2000,2567295.4754352863
2010,2531534.55424506
2016,2416550.411105243
2017,2415451.682785186
